x y theta v w
3.62937 -1.68158 7.4201 0.499621 0.124904
3.65009 -1.63611 7.43259 0.499627 0.124906
3.67024 -1.59039 7.44508 0.499633 0.124907
3.68982 -1.54443 7.45757 0.499639 0.124909
3.70882 -1.49822 7.47006 0.499646 0.124911
3.72725 -1.45177 7.48255 0.499653 0.124912
3.74509 -1.4051 7.49504 0.49966 0.124914
3.76235 -1.35821 7.50754 0.499667 0.124916
3.77902 -1.3111 7.52003 0.499674 0.124918
3.79511 -1.26379 7.53252 0.499682 0.12492
3.8106 -1.21629 7.54501 0.499689 0.124922
3.8255 -1.16859 7.55751 0.499697 0.124924
3.8398 -1.12071 7.57 0.499706 0.124926
3.8535 -1.07265 7.58249 0.499714 0.124928
3.8666 -1.02442 7.59498 0.499723 0.12493
3.87909 -0.976039 7.60748 0.499732 0.124932
3.89099 -0.9275 7.61997 0.499741 0.124935
3.90227 -0.878815 7.63247 0.49975 0.124937
3.91295 -0.829992 7.64496 0.49976 0.12494
3.92301 -0.781038 7.65745 0.49977 0.124942
3.93246 -0.731962 7.66995 0.49978 0.124945
3.9413 -0.68277 7.68244 0.49979 0.124947
3.94953 -0.633471 7.69494 0.4998 0.12495
3.95713 -0.584072 7.70743 0.499811 0.124953
3.96412 -0.53458 7.71993 0.499822 0.124955
3.97049 -0.485004 7.73243 0.499833 0.124958
3.97624 -0.435351 7.74492 0.499845 0.124961
3.98137 -0.385629 7.75742 0.499856 0.124964
3.98588 -0.335846 7.76992 0.499868 0.124967
3.98977 -0.286008 7.78241 0.49988 0.12497
3.99303 -0.236126 7.79491 0.499892 0.124973
3.99567 -0.186204 7.80741 0.499905 0.124976
3.99769 -0.136253 7.81991 0.499917 0.0937335
3.99908 -0.086279 7.82616 0.499934 0.0624882
