generation,rmse,Q_0,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,R_odom_0,R_odom_1,R_odom_2,R_odom_3,R_imu_0,R_imu_1,R_imu_2,R_imu_3
6,0.2282,387.2629,138.8477,186.5515,273.8383,310.8388,238.4047,186.406,149.9641,99.0472,211.3157,404.1461,199.9246,437.5045,347.2146,281.3608,420.5801
6,0.2327,77.591,445.0637,300.015,234.2915,299.9697,211.8757,448.7054,354.7675,530.8155,207.0512,388.131,72.5412,448.8573,329.9121,318.32,497.3066
6,0.3128,366.0101,170.1412,252.5639,219.4163,296.8207,193.942,450.7246,370.2825,98.4709,119.297,96.1737,87.8925,365.4399,378.7116,334.9432,497.3066
7,0.2244,387.2629,138.8477,186.5515,273.8383,317.408,238.4047,59.0844,155.8933,99.0472,118.2485,401.4999,199.9246,437.5045,355.5038,214.5678,31.2948
7,0.2257,141.7641,170.1412,186.5515,537.1606,87.2881,238.4047,498.9839,163.8185,99.0472,300.8888,356.8626,199.9246,288.5639,335.7335,214.5678,278.0303
7,0.296,133.6048,177.8604,197.6708,213.0268,285.6945,338.6016,180.5676,134.9876,130.1637,207.0465,81.8426,78.043,303.0735,332.1345,215.4091,356.1947
7,0.2856,366.0101,138.8477,186.5515,273.8383,296.8207,211.8757,59.0844,446.8288,98.4709,118.2485,96.1737,55.2673,437.5045,378.7116,214.5678,497.3066
7,0.2331,129.9434,144.1981,214.7251,586.3036,287.4141,537.1084,619.9415,170.6438,89.1722,222.0945,378.2398,363.9202,315.173,456.298,315.075,28.9757
7,0.2851,141.7641,452.494,269.4017,537.1606,310.8388,238.4047,498.9839,110.8739,82.6834,211.3157,96.9263,55.2673,288.5639,378.7116,214.5678,420.5801
7,0.2316,367.2203,292.7035,202.5753,331.882,308.5119,151.2497,418.8141,151.5659,77.7028,322.7408,452.8966,183.6607,314.7435,414.0713,359.0382,447.5204
7,0.2282,387.2629,144.5736,216.1553,140.8604,340.8185,238.4047,607.7058,334.2093,96.6229,209.6928,404.1461,336.2485,437.5045,347.2146,280.8723,420.5801
7,0.3128,77.591,170.1412,300.015,234.2915,296.8207,193.942,448.7054,354.7675,530.8155,119.297,96.1737,72.5412,448.8573,329.9121,334.9432,497.3066
7,0.3122,366.0101,452.494,186.5515,537.1606,296.8207,260.6092,431.4336,163.8185,98.4709,300.8888,96.9263,199.9246,288.5639,377.5286,334.0109,278.0303
7,0.2316,391.8423,241.5066,179.2414,235.1986,310.8302,202.5428,557.5213,131.9773,108.7503,256.0913,383.2628,226.509,282.5663,353.8938,303.2676,480.528
7,0.2277,347.3049,148.1058,300.015,234.2915,318.7387,253.3501,448.7054,149.9641,363.7026,211.3157,470.2546,55.5757,496.3166,329.9121,318.32,420.5801
7,0.2241,368.5982,135.5016,63.8327,287.1684,213.7934,249.462,366.9452,136.5889,85.447,252.1333,466.4869,216.6674,441.4662,384.5659,224.0899,29.2983
7,0.2282,347.3049,292.7035,202.5753,259.8227,318.7387,253.3501,169.7255,151.5659,100.7387,190.6981,452.8966,55.5757,314.7435,327.1201,314.946,447.5204
7,0.2856,366.0101,138.8477,186.5515,537.1606,87.2881,211.8757,431.4336,446.8288,98.4709,300.8888,96.1737,199.9246,288.5639,377.5286,214.5678,278.0303
7,0.3054,366.2478,479.9304,170.9417,243.3951,91.9005,378.3102,188.3235,425.2532,77.7028,322.7408,116.909,78.4846,339.8336,306.2267,359.0382,462.7099
7,0.3128,387.2629,170.1412,252.5639,563.5748,222.1414,380.4084,450.7246,370.2825,509.4171,119.297,96.1737,199.9246,365.4399,382.9293,334.9432,31.2948
